Donor.ROI,Image,User,Stage.Labels,Quality,Notes,Time,cell_id,cell_area
ROI1,ROI1_aaaaimck-1.png,Taylor,early transitioning,good,,22:31.9,aaaaimck-1,669.2156493
ROI1,ROI1_aaaalpdj-1.png,Taylor,late transitioning,good,,23:55.1,aaaalpdj-1,790.2795599
ROI1,ROI1_aaabfpcg-1.png,Taylor,early transitioning,okay,"less than half the oocyte captured, but still oocyte specific",29:09.4,aaabfpcg-1,244.4307901
ROI1,ROI1_aaabgdkk-1.png,Taylor,secondary;other,okay,this oocyte looks very misshapen so we should watch for abnormal signatures; follicle looks like it is about to create an antrum,29:57.4,aaabgdkk-1,1560.329119
ROI1,ROI1_aaacbjaf-1.png,Taylor,primordial,okay,oocyte specific but pretty much just the nucleus,30:21.3,aaacbjaf-1,328.6923557
ROI1,ROI1_aaafefio-1.png,Taylor,primordial,good,,31:02.4,aaafefio-1,729.3637765
ROI1,ROI1_aaafndjb-1.png,Taylor,early transitioning,good,,31:14.3,aaafndjb-1,575.6970521
ROI1,ROI1_aaafpofm-1.png,Taylor,primary,good,slight overlap with GCs but not terrible,31:32.6,aaafpofm-1,585.3153337
ROI1,ROI1_aaaijgjh-1.png,Taylor,late transitioning,good,,31:44.4,aaaijgjh-1,501.7762682
ROI1,ROI1_aaajhlki-1.png,Taylor,primordial,poor,overlap with GCs,32:01.9,aaajhlki-1,923.5356585
ROI1,ROI1_aaajnemh-1.png,Taylor,primordial,good,,33:23.8,aaajnemh-1,509.994706
ROI1,ROI1_aaakgcjc-1.png,Taylor,primordial,good,,33:33.9,aaakgcjc-1,595.4754904
ROI1,ROI1_aaalhaaa-1.png,Taylor,early transitioning,good,,33:44.9,aaalhaaa-1,773.8426843
ROI1,ROI1_aaameida-1.png,Taylor,late transitioning,good,,33:56.7,aaameida-1,780.6161221
ROI1,ROI1_aaamelpo-1.png,Taylor,early transitioning,okay,oocyte specific but about half oocyte captured,34:14.5,aaamelpo-1,338.4009498
ROI1,ROI1_aaanbjmd-1.png,Taylor,primordial,okay,"about half oocyte captured, oocyte doesn't look great",34:39.6,aaanbjmd-1,314.8293864
ROI1,ROI1_aaanhakn-1.png,Taylor,primary,good,,34:49.4,aaanhakn-1,812.6319045
ROI1,ROI1_aaanhmdg-1.png,Taylor,late transitioning,good,,35:02.4,aaanhmdg-1,611.5962722
ROI1,ROI1_aaanihjo-1.png,Taylor,late transitioning,poor,captures GCs,35:17.1,aaanihjo-1,581.6576774
ROI1,ROI1_aaaobcfe-1.png,Taylor,primary,good,,35:38.0,aaaobcfe-1,1290.746297
ROI1,ROI1_aaapdang-1.png,Taylor,early transitioning,good,,35:53.5,aaapdang-1,475.3147048
ROI1,ROI1_aaaphndo-1.png,Taylor,early transitioning,good,,36:09.9,aaaphndo-1,706.7856507
ROI1,ROI1_aababmcd-1.png,Taylor,early transitioning,good,,36:29.4,aababmcd-1,644.3797109
ROI1,ROI1_aabaebbj-1.png,Taylor,early transitioning,good,,36:37.6,aabaebbj-1,992.3989423
ROI1,ROI1_aabakjnc-1.png,Taylor,primordial,good,"mostly nucleus, not a ton of cytoplasm",36:53.6,aabakjnc-1,394.9365768
ROI1,ROI1_aabbcjjm-1.png,Taylor,primordial,good,,37:12.6,aabbcjjm-1,506.5628309
ROI1,ROI1_aabbhpdh-1.png,Taylor,late transitioning,okay,about 1/2 oocyte captured,37:35.6,aabbhpdh-1,327.4731369
ROI1,ROI1_aabcfgel-1.png,Taylor,primordial,good,,37:59.6,aabcfgel-1,391.369233
ROI1,ROI1_aabdefka-1.png,Taylor,early transitioning,good,,38:09.5,aabdefka-1,419.185484
ROI1,ROI1_aabdmgko-1.png,Taylor,transitioning,good,,38:29.7,aabdmgko-1,1154.103479
ROI1,ROI1_aabdnkmi-1.png,Taylor,primordial,poor,reaches into GCs,39:04.7,aabdnkmi-1,1176.546136
ROI1,ROI1_aabdocbo-1.png,Taylor,primordial,good,,39:13.9,aabdocbo-1,574.6133021
ROI1,ROI1_aabdphmd-1.png,Taylor,transitioning,good,,39:36.2,aabdphmd-1,575.4261146
ROI1,ROI1_aabfioge-1.png,Taylor,transitioning,poor,goes into GCs,39:52.8,aabfioge-1,615.2539286
